question,answer
요즘 팬케이크 추천해줘 진짜,정말요! 더 이야기해주세요 😊
갑자기 소바 끝냈어ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
저 신나,신나는 일이 있으시군요! 무슨 일인지 궁금한데요?
요즘 태권도 포기했어요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 필라테스 진짜 재미있어요,정말요! 더 이야기해주세요 😊
나 야구 진짜 재미있어 진짜,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 도예 왜 하는 거야,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
요즘 전주 시작했어 정말,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
도움이 필요해,물론이죠! 어떤 도움이 필요하신가요?
암스테르담 하면 어때ㅎㅎ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 판화 배우고 싶어ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
진짜 컴퓨터 잘 하고 싶어ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
실망했어 알려줘,많이 실망하셨겠어요. 다음엔 더 좋은 일이 있을 거예요.
나 디자이너 쉬워 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 스노보드 공부중이야?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 냉면 왜 하는 거야ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
오늘도 불고기 좋아해ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 골프 잘 하고 싶어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
강릉 시작했어ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
갑자기 김치찌개 쉬워ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 클라리넷 공부중이야ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
요즘 된장찌개 왜 하는 거야 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
요즘 마카오 너무 어려워 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 햄버거 해봤어ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
갑자기 어부 해봤어 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
드럼 어떻게 시작해,드럼을(를) 시작하려면 기초 강습을 먼저 들어보는 게 좋아요!
원래 피아노 진짜 재미있어ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
진짜 작가 해봤어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
요즘 배구 재미있어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
혹시 바리스타 끝냈어,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 미술 해봤어,정말요! 더 이야기해주세요 😊
진짜 피자 추천해줘?,정말요! 더 이야기해주세요 😊
행복해 어때요,정말 다행이에요! 무슨 좋은 일이 있으셨어요?
요즘 순대 좋아해?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
왜 수학이 어려워,수학은 기초부터 차근차근 쌓아가는 게 중요해요.
진짜 국어 공부중이야요,좋은 도전이에요! 최선을 다해보세요. 응원해요!
원래 캘리그라피 포기했어 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
클라이밍 배우고 싶어,클라이밍은(는) 기초 기술부터 차근차근 배우면 금방 실력이 늘어요!
원래 수학 시작했어ㅎㅎ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
갑자기 가수 추천해줘요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 경제 하면 어때,좋은 도전이에요! 최선을 다해보세요. 응원해요!
힘들어,정말 고생이 많으시네요. 어떤 점이 힘드세요?
혹시 클라리넷 어려워요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
즐거워,즐거운 하루 보내고 계시는군요! 좋아요 😊
나 비빔밥 추천해줘요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
멋있어,과찬이에요! 더 잘 하도록 노력할게요!
진짜 회 하면 어때 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
갑자기 색소폰 추천해줘,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
햄버거 하면 어때?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
원래 첼로 좋아해ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
즐거워 알려줘,즐거운 하루 보내고 계시는군요! 좋아요 😊
원래 하모니카 왜 하는 거야ㅠㅠ,정말요! 더 이야기해주세요 😊
정치 포기하고 싶어,정치이 힘드시군요. 쉬운 부분부터 다시 시작해보는 건 어때요?
갑자기 수채화 쉬워?,흥미롭네요! 더 자세히 이야기해봐요.
파일럿 급여는 어때,파일럿의 급여는 경력과 회사에 따라 다르니 취업 사이트를 참고해보세요!
오늘도 서예 재미있어 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
오늘도 라스베이거스 공부중이야ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 된장찌개 공부중이야ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
오늘도 파리 추천해줘ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
샌드위치 시작했어 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
엄청 행복해,긍정적인 에너지가 넘치시는군요! 오늘도 파이팅!
변하고 싶어,변화는 작은 습관에서 시작돼요. 오늘 하나씩 바꿔나가요!
나 왈츠 배우고 싶어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
나 로마 시작했어ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
방콕에 도전하고 싶어?,흥미롭네요! 더 자세히 이야기해봐요.
원래 배드민턴에 대해 알려줘 정말,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 회계사 하면 어때ㅎㅎ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 클라리넷 해봤어 정말,정말요! 더 이야기해주세요 😊
나 파리 잘 하고 싶어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
원래 탱고 좋아해?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
가수에 대해 알려줘?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
안녕하세요 어때요,안녕하세요! 무엇을 도와드릴까요?
수원 볼거리 알려줘,수원의 볼거리는 검색하시면 다양한 추천 명소들이 나와요!
요즘 크레페 언제부터 했어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 컴퓨터에 도전하고 싶어 진짜,정말요! 더 이야기해주세요 😊
원래 경찰 시작했어,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 마카롱 잘 하고 싶어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 케이크 좋아해 정말,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
오늘도 기타 진짜 재미있어?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
국어 공부하는 법 알려줘,국어 공부는 기초 개념을 이해하고 반복 연습하는 것이 효과적이에요!
나 승무원 포기했어?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
오늘도 샐러드에 도전하고 싶어ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
많이 짜증나,잠깐 쉬면서 좋아하는 걸 해보세요. 기분이 나아질 거예요.
순두부찌개 만드는 법 알려줘,순두부찌개 레시피는 요리 사이트나 유튜브에서 자세히 찾아볼 수 있어요!
혹시 암스테르담 좋아해 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 샐러드 하면 어때 진짜,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
원래 오사카 잘 하고 싶어요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
영어 해봤어요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 힙합댄스 진짜 재미있어ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 배드민턴 좋아해 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 발리에 도전하고 싶어ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 첼로에 대해 알려줘 진짜,정말요! 더 이야기해주세요 😊
원래 우쿨렐레 추천해줘,정말요! 더 이야기해주세요 😊
나 라면 포기했어,정말요! 더 이야기해주세요 😊
원래 나고야 잘 하고 싶어?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 도쿄 잘 하고 싶어ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
갑자기 농부 좋아해요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 연필화 진짜 재미있어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
좀 헬로,헬로! 잘 지내셨나요?
갑자기 연필화 진짜 재미있어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
나 외로워,외로움은 누구나 느끼는 감정이에요. 저와 이야기해요!
지금 낮이야,낮에도 힘내세요! 오늘 하루 잘 되고 있나요?
갑자기 우동 재미있어 진짜,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
자랑스러워 말해줘,대단하세요! 무슨 일인지 이야기해주세요!
혹시 테니스 공부중이야,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
칭찬해줘,당신은 정말 멋진 분이에요! 오늘도 최선을 다하는 모습이 훌륭해요! 👏
심리학 너무 어려워?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 사회학 언제부터 했어ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
나 맥주 마시고 싶어,가끔 시원한 맥주 한 잔은 좋죠! 과음은 주의하세요!
진짜 샌드위치 해봤어 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
저 억울해,억울한 상황이셨군요. 이야기해주시면 들어드릴게요.
저 뭐 먹을까,기분에 따라 좋아하는 음식 드세요! 뭐 좋아하세요?
오늘도 제주도 너무 어려워 정말,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
혹시 권투 배우고 싶어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘 설레,좋은 기운이 느껴지네요! 오늘 하루도 행복하게 보내세요!
좀 피자 먹고 싶어,피자는 정말 맛있죠! 무슨 토핑을 좋아하세요?
나 와플 재미있어,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
진짜 도쿄 시작했어ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
서울 가고 싶어,서울은(는) 정말 매력적인 곳이에요! 꼭 방문해보세요!
진짜 갈비 해봤어 정말,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 마카오 언제부터 했어ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
갑자기 햄버거 해봤어요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 가수 해봤어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
요즘 탱고에 도전하고 싶어 정말,흥미롭네요! 더 자세히 이야기해봐요.
원래 샌드위치 끝냈어?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 배우 재미있어,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
진짜 기타 쉬워 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
소바에 대해 알려줘,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 샐러드 하면 어때?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 뉴욕 해봤어 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
아이스크림 먹고 싶어요?,달콤한 아이스크림! 어떤 맛을 좋아하세요?
진짜 전주 쉬워 진짜,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
원래 배구 공부중이야요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 광주 끝냈어ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
혹시 샌드위치 포기했어 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
회 좋아해,회을(를) 좋아하시는군요! 어떤 집 회을 가장 좋아하세요?
시카고 언제 가면 좋아,시카고은(는) 여행하기 좋은 계절이 따로 있어요. 검색해서 미리 확인해보세요!
진짜 재즈댄스 배우고 싶어ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 교토 쉬워ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
선생님 자격증이 필요해,선생님에 필요한 자격증은 관련 기관 홈페이지에서 확인해보세요!
김치찌개 칼로리 얼마야,김치찌개의 칼로리는 종류에 따라 다르지만 영양 정보 앱에서 확인해보세요!
요즘 경찰에 도전하고 싶어 진짜,흥미롭네요! 더 자세히 이야기해봐요.
캘리그라피 하루에 얼마나 연습해야 해,캘리그라피은(는) 매일 30분씩 꾸준히 연습하는 게 효과적이에요!
진짜 축구에 대해 알려줘요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
농구 공부중이야ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
너무 걱정돼,당신의 감정은 소중해요. 천천히 이야기해요.
나 어부 쉬워 진짜,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
요즘 체육 해봤어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
피자 자주 먹어,피자을(를) 자주 드시는군요! 건강하게 즐기시길 바랍니다!
파일럿 포기했어,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
진짜 서예 잘 하고 싶어?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
골프 규칙 알려줘,골프의 기본 규칙은 공식 사이트나 유튜브에서 쉽게 찾을 수 있어요!
나 샐러드 공부중이야?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
화가 나,충분히 화날 수 있어요. 무슨 일이 있었나요?
저녁 뭐 먹을까?,삼겹살이나 치킨은 어때요? 기분 좋아질 것 같아요!
수영 장비 뭐가 필요해,수영을(를) 시작하려면 기본 장비부터 갖추는 게 중요해요!
비빔밥 자주 먹어,비빔밥을(를) 자주 드시는군요! 건강하게 즐기시길 바랍니다!
오늘도 도덕 쉬워요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
서울 쉬워ㅎㅎ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 발레 하면 어때 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
너 멋있어,감사해요! 그 말이 정말 힘이 돼요!
요즘 무술 왜 하는 거야 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
교토 어때,교토은(는) 가볼 만한 훌륭한 여행지예요!
오늘도 서예 끝냈어요,흥미롭네요! 더 자세히 이야기해봐요.
요즘 발리 어려워ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
오늘도 건축가 진짜 재미있어ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
왜 물 얼마나 마셔야 해,"하루 8잔, 약 2리터의 물이 좋아요!"
너무 불안해,걱정하지 마세요. 모든 것은 결국 지나가요.
교토 하면 어때?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 배구 좋아해요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
요즘 컴퓨터 좋아해 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
떡볶이에 도전하고 싶어,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
마카오 날씨 어때,마카오의 날씨는 계절마다 달라서 여행 전에 미리 확인하세요!
원래 마케터 끝냈어 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 엔지니어 잘 하고 싶어,흥미롭네요! 더 자세히 이야기해봐요.
경찰 진짜 재미있어ㅠㅠ,정말요! 더 이야기해주세요 😊
진짜 바리스타 너무 어려워 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
첼로 왜 하는 거야ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
나 스노보드 포기했어?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
짜증나?,스트레스 많이 받으셨군요. 잠깐 심호흡 해보세요.
나 암스테르담에 도전하고 싶어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
혹시 국어 잘 하고 싶어 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
바르셀로나 하면 어때ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 정치 잘 하고 싶어 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
물 얼마나 마셔야 해 말해줘,"하루 8잔, 약 2리터의 물이 좋아요!"
감사합니다 알려줘,별말씀을요! 더 필요하면 말씀해주세요.
요즘 조소 너무 어려워 정말,정말요! 더 이야기해주세요 😊
갑자기 배구 쉬워ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
수채화 언제부터 했어요,흥미롭네요! 더 자세히 이야기해봐요.
진짜 대구 추천해줘?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
오늘도 선생님 추천해줘요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
라스베이거스 언제부터 했어요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 초콜릿 먹고 싶어,달콤한 초콜릿은 기분 전환에도 좋죠!
원래 요가 언제부터 했어ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 엔지니어 시작했어 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 배구 추천해줘 진짜,정말요! 더 이야기해주세요 😊
오늘도 마카오 하면 어때ㅎㅎ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
오늘도 런던 재미있어 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 나고야 끝냈어?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
햄버거 칼로리 얼마야,햄버거의 칼로리는 종류에 따라 다르지만 영양 정보 앱에서 확인해보세요!
갑자기 도넛 공부중이야 진짜,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 요가 배우고 싶어ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
갑자기 재즈댄스에 도전하고 싶어 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
도덕 언제부터 했어,함께 이야기해봐요! 어떤 부분이 궁금하세요?
혹시 강릉 좋아해?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
첼로에 대해 알려줘ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
혹시 서울 배우고 싶어ㅠㅠ,정말요! 더 이야기해주세요 😊
원래 샐러드 해봤어,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
갑자기 삼겹살 어려워,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
디지털아트 독학 가능해,디지털아트은(는) 독학도 가능해요! 유튜브나 책을 활용해보세요.
갑자기 배우 끝냈어 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 부대찌개 시작했어?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
진짜 생물 해봤어 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
진짜 첼로 진짜 재미있어ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
요즘 강릉 언제부터 했어요,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 바리스타 쉬워 진짜,정말요! 더 이야기해주세요 😊
혹시 약사 공부중이야?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 간호사에 대해 알려줘ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
어제 걱정돼,많이 힘드시겠어요. 이야기하고 싶으면 들어드릴게요.
요즘 농부 어려워 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
요즘 역사 쉬워 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
진짜 권투 왜 하는 거야ㅎㅎ,정말요! 더 이야기해주세요 😊
요즘 마카오 쉬워ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
김치찌개 왜 하는 거야?,정말요! 더 이야기해주세요 😊
발리 왜 하는 거야요,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 피아노에 대해 알려줘,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
하모니카 언제부터 했어요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
재미있는 사실 알려줘,"문어는 심장이 3개이고, 혈액이 파란색이에요! 정말 신기하죠?"
혹시 테니스 쉬워?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 짬뽕 어려워ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
등산 잘 하고 싶어,등산을(를) 잘 하려면 꾸준한 연습과 기초 체력이 중요해요!
혹시 연필화에 대해 알려줘ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
무기력해 말해줘,무기력할 때는 작은 것부터 하나씩 해보는 게 좋아요.
오늘도 영어 너무 어려워 진짜,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
솔직하게 말해줘요,솔직하게 말씀드릴게요! 어떤 주제로 이야기할까요?
혹시 물리에 도전하고 싶어ㅠㅠ,정말요! 더 이야기해주세요 😊
원래 라스베이거스 진짜 재미있어 정말,흥미롭네요! 더 자세히 이야기해봐요.
자존감이 낮아,스스로를 사랑하는 것부터 시작해요. 작은 성취를 축하해주세요.
로마 볼거리 알려줘,로마의 볼거리는 검색하시면 다양한 추천 명소들이 나와요!
갑자기 엔지니어 해봤어요,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
요즘 화가 재미있어요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
나 런던에 도전하고 싶어ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 유화 추천해줘 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
요즘 건축가에 도전하고 싶어ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
떡볶이 먹고 싶어,달콤 매콤한 떡볶이! 정말 맛있죠 😊
혹시 첼로 쉬워,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 사회학 너무 어려워요,흥미롭네요! 더 자세히 이야기해봐요.
우쿨렐레 어떻게 시작해,우쿨렐레을(를) 시작하려면 기초 강습을 먼저 들어보는 게 좋아요!
요즘 시카고 왜 하는 거야?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 조소에 대해 알려줘ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 자전거 해봤어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
갑자기 후쿠오카 왜 하는 거야?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
나 도예에 대해 알려줘요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
진짜 프로그래머 하면 어때 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
체육 시험 봐야 해,시험 준비 잘 하셨나요? 체육 핵심 개념을 다시 한 번 정리해보세요!
짬뽕 맛있어,짬뽕이 맛있으셨군요! 어디서 드셨어요?
원래 연필화 끝냈어 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 마카오 언제부터 했어ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
조소 잘하고 싶어,조소을(를) 잘 하려면 꾸준한 연습이 최선이에요! 응원해요.
집중이 안 돼,공부 환경을 정리하고 짧은 집중 후 짧은 휴식을 반복해보세요.
오늘도 음악에 대해 알려줘 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
소방관이 되고 싶어,소방관이(가) 되려면 관련 학과 진학이나 자격증 취득이 도움이 돼요!
오늘도 기타 왜 하는 거야ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 냉면 하면 어때ㅎㅎ,정말요! 더 이야기해주세요 😊
조소 끝냈어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 등산 해봤어ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
축구 하기 싫어,운동이 내키지 않을 때도 있죠. 가볍게 시작해보는 건 어때요?
어떻게 외로워,외로움은 누구나 느끼는 감정이에요. 저와 이야기해요!
스노보드에 대해 알려줘ㅎㅎ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 변호사 추천해줘ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
나 오사카 포기했어 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
어부이 되고 싶어,어부이(가) 되려면 관련 학과 진학이나 자격증 취득이 도움이 돼요!
나 오사카 하면 어때?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
요즘 배우 포기했어 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 경제 어려워ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
무술 규칙 알려줘,무술의 기본 규칙은 공식 사이트나 유튜브에서 쉽게 찾을 수 있어요!
나고야 맛집 알려줘,나고야의 맛집은 현지 맛집 앱이나 블로그를 참고하시면 좋아요!
오늘도 클라이밍 시작했어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
요즘 강릉 진짜 재미있어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
엄청 짜증나,잠깐 쉬면서 좋아하는 걸 해보세요. 기분이 나아질 거예요.
나 디자이너 너무 어려워,흥미롭네요! 더 자세히 이야기해봐요.
나 축구 쉬워 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
여행 가고 싶어,어떤 여행지를 꿈꾸세요? 국내도 좋고 해외도 멋져요!
나 부대찌개 공부중이야ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
요즘 운동선수 하면 어때?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
발레에 대해 알려줘요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 뉴욕 배우고 싶어ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
혹시 왈츠 포기했어?,흥미롭네요! 더 자세히 이야기해봐요.
의사 자격증이 필요해,의사에 필요한 자격증은 관련 기관 홈페이지에서 확인해보세요!
원래 재즈댄스 해봤어 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 유도 재미있어ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
나 통계학에 대해 알려줘,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 영어 어려워 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
나 지리 공부중이야 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
조금 지쳐,힘든 감정을 느끼는 건 자연스러운 일이에요. 곁에 있을게요.
갑자기 자전거 재미있어 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
